port,name,ssl,group
80,web,FALSE,web
8080,web-alt,FALSE,web
8081,web-alt,FALSE,web
8888,web-alt,FALSE,web
8443,web-alt,TRUE,web
443,web,TRUE,web
5900,vnc,FALSE,gui-admin
143,imap,FALSE,mail
110,pop3,FALSE,mail
3389,rdp,FALSE,gui-admin
445,smb,FALSE,microsoft
9100,jetdirect,FALSE,printer
135,dce,FALSE,microsoft
389,ldap,FALSE,ldap
21,ftp,FALSE,file-transfer
990,ftps,TRUE,file-transfer
1433,mssql,FALSE,database
995,pop3,TRUE,mail
587,smtp-sub,FALSE,mail
111,rpc,FALSE,rpc
25,smtp,FALSE,mail
53,dns,FALSE,dns
3306,mysql,FALSE,database
22,ssh,TRUE,shell
1723,pptp,TRUE,vpn
23,telnet,FALSE,shell
5000,upnp,FALSE,upnp
465,smtp,TRUE,mail
139,netbios,FALSE,microsoft
993,imap,TRUE,mail
